,noaa,number,hpc_x,hpc_y,classification,hale_classification,numspots
2013-05-27,"11754,11755,11756,11757,11758",5,"407.998528523785,0.0,200.98476670338056,-760.539695126703,-834.4871175002772","-291.71304175768444,218.1922548520202,-305.91750586459597,-119.90291465218743,-364.68659186579885","CRO,DAI,EHI,HSX,AXX","BETA,BETA,BETA,ALPHA,ALPHA","3,19,18,1,1"
2013-07-05,"11781,11784,11785,11787",4,"864.6487415199665,143.1753429724865,-544.3723891801201,-760.7670025241096","345.1993000373399,-297.00912699514765,-239.77858059601667,-258.0339965455613","AXX,DSI,FKC,DAO","ALPHA,BETA,BETA-GAMMA-DELTA,BETA-GAMMA","1,13,43,12"
2013-07-06,"11784,11785,11787,11788",4,"355.7706224541838,-378.21962352166884,-623.4815427544527,-282.7782733803615","-310.56465324950875,-231.04696018177614,-284.36080715143726,-296.6177300882778","DAI,EKC,EAI,BXO","BETA,BETA-GAMMA-DELTA,BETA-GAMMA,BETA","15,42,14,2"
2013-10-31,"11877,11879,11882,11883,11884,11885,11886,11887",8,"930.3616425448766,880.2040787361341,100.19903759658395,-299.1573757752776,-387.3368283524178,-360.4550181045197,366.19041081988064,-805.3511261686217","-228.311050654743,-243.38984210656417,-225.81166389155055,-4.414770885104733,-252.48469167882863,-365.14431065543823,182.98045216717946,313.85483889997465","DAO,CAO,DKO,AXX,EKC,CAO,DAO,HSX","BETA,BETA,BETA,ALPHA,BETA-GAMMA-DELTA,BETA,BETA,ALPHA","2,2,19,1,15,5,7,1"
2013-11-01,"11879,11882,11884,11885,11886,11887,11888",7,"938.6663093104961,311.1778868050135,-197.39934502425604,-191.9012821763754,553.2284695436833,-672.5092233228497,496.50873845874287","-209.23029773324663,-237.0422509585151,-272.1273311684395,-367.95544111151446,175.84597457760452,300.1298264118394,-310.9897127452745","HSX,DAO,EKC,CSO,CSO,CSO,CRO","ALPHA,BETA,BETA-GAMMA-DELTA,BETA,BETA,BETA,BETA","2,14,23,6,5,4,4"
2013-11-02,"11882,11884,11885,11887,11888",5,"492.199775639275,16.511555226063535,32.03486732698795,-545.0614617979154,673.6931499830308","-229.13416708224096,-288.3656601380183,-383.6035037895008,292.7474342847911,-298.76883416442257","DAO,EKI,CSO,CRO,CRO","BETA,BETA-GAMMA,BETA,BETA,BETA","12,19,6,3,5"
2013-11-03,"11882,11884,11885,11887,11888,11889,11890",7,"687.1031684293065,213.68466877454276,253.03547039080965,-341.78811078099534,814.2454135118271,-360.73781371768564,-919.096668735845","-216.27687339539574,-268.7486477337179,-379.4881778388565,269.6240742255868,-268.0174555560377,-361.04327715797524,-170.21862609069356","CAO,EKO,CAO,CRO,CRO,CRO,HSX","BETA,BETA-GAMMA-DELTA,BETA,BETA,BETA,BETA,ALPHA","4,21,12,4,3,6,3"
2014-01-27,"11955,11957,11958,11959,11960,11964,11965,11966",8,"900.2955816141292,927.6713109738196,684.4033649597568,486.5227875156996,486.56864381906774,229.7048701851795,-49.47500687581487,-215.32788499840535","-206.1786694284712,192.91532613815934,-68.21858105920833,-322.29129253068305,-172.4604216106486,-145.19746420854648,-159.45073489849494,-110.96694828413149","HRX,CAO,BXO,DSO,CAO,AXX,AXX,BXO","ALPHA,BETA,BETA,BETA,BETA,ALPHA,ALPHA,BETA","1,4,2,7,8,1,1,5"
2014-02-14,"11971,11973,11974,11976,11977,11978",6,"908.2778694561894,638.8413133180717,409.2274853620438,-212.03920495370403,-592.9092774861492,882.4201644450872","-149.49957036551555,347.5946332868816,-14.46216451805108,-142.38005738668303,-61.87690001989743,164.15108420199084","CSO,CSO,FKC,FKI,EKC,DAO","BETA,BETA,BETA-GAMMA-DELTA,BETA-GAMMA,BETA-GAMMA,BETA","3,4,47,15,16,12"
2014-02-28,"11981,11982,11984,11986,11987,11988,11989,11990,11991,11992,11993",11,"925.1739823751494,851.5864114919253,896.0586132273419,473.58153164457565,67.77526396016115,576.1039189966289,-232.40566121786833,-580.6380351050757,-693.5755142013077,-111.40582413109951,-660.2077563891653","-83.97696772628449,-112.78747583235308,-232.9665803982134,319.79788177570254,71.01588851348626,-71.59779216079116,267.83400645925644,-140.09948990817887,-339.2378641155525,-216.3230581120413,348.3973184433219","EAO,EAC,DAO,CRO,DSI,DAO,HRX,DKC,DKO,DAO,CRO","BETA,BETA-GAMMA,BETA,BETA,BETA-GAMMA,BETA,ALPHA,BETA-DELTA,BETA,BETA,BETA","7,32,9,11,16,10,3,7,11,4,7"
